file,text
cooler-diamond-purple.png,"a modern diamond-cut purple glass tumbler, studio lighting, reflective surface"
cooler-diamond-purple.png,"a faceted purple drinking glass with vertical cuts, elegant and minimalist design"
cooler-diamond-purple.png,"a contemporary purple cooler glass with geometric texture, standing on white background"
cooler-diamond-purple.png,"a sleek violet glass tumbler with diamond pattern, high transparency, photorealistic"
cooler-diamond-purple.png,"a stylish purple beverage glass with sharp diamond ridges, isolated on plain backdrop"
lounge-d-o-f-bartender.png,"a crystal-clear tumbler glass with intricate starburst cuts, studio lighting"
lounge-d-o-f-bartender.png,"a classic transparent glass with geometric diamond pattern, isolated on white"
lounge-d-o-f-bartender.png,"a bartender-style whiskey glass with reflective facets and radial engravings"
lounge-d-o-f-bartender.png,"a vintage-style drinking glass with prismatic etching and thick base"
lounge-d-o-f-bartender.png,"an elegant cut-glass tumbler with detailed textures and sharp reflections"
mixing-glass-america-20s.png,"a tall transparent mixing glass with vertical ridges and a diamond-cut base"
mixing-glass-america-20s.png,"an elegant crystal mixing vessel with fluted sides and faceted bottom design"
mixing-glass-america-20s.png,"a vintage-style cocktail mixing glass with spout and engraved base pattern"
mixing-glass-america-20s.png,"a clear glass beaker with vertical grooves and geometric texture on the base"
mixing-glass-america-20s.png,"a bartending mixing glass with classic 1920s style, thick cut-glass bottom"
cognac-america-20s.png,"a vintage cognac glass with wide bowl and vertical ribbed texture, elegant stem"
cognac-america-20s.png,"a clear snifter glass with fluted surface and ornate foot, 1920s inspired design"
cognac-america-20s.png,"a transparent brandy glass with curved silhouette and textured stem base"
cognac-america-20s.png,"a crystal cognac snifter with fine vertical lines and classic barware look"
cognac-america-20s.png,"a traditional tulip-shaped cognac glass with detailed ridges and pedestal foot"
16-cl-lyon.png,"a small clear glass tumbler with a flared base and vertical grooves"
16-cl-lyon.png,"a minimalist drinking glass with thick bottom and ridged lower half"
16-cl-lyon.png,"a compact transparent glass with cylindrical shape and textured base"
16-cl-lyon.png,"a short water glass with ribbed pattern and smooth upper section"
16-cl-lyon.png,"a simple clear glass cup with geometric lower detailing, isolated on white"
22-fh-tube-gina.png,"a tall cylindrical glass with a thick base, minimal and modern design"
22-fh-tube-gina.png,"a slim clear highball glass with straight sides and transparent finish"
22-fh-tube-gina.png,"a tube-shaped cocktail glass with clean lines and glossy surface"
22-fh-tube-gina.png,"a vertical drinking glass with smooth form and weighted bottom"
22-fh-tube-gina.png,"a sleek and narrow clear glass tumbler, isolated on white"
30-fb-gina.png,"a short clear tumbler glass with thick base and smooth cylindrical shape"
30-fb-gina.png,"a minimalist transparent drinking glass with solid bottom and plain sides"
30-fb-gina.png,"a simple straight-sided glass tumbler, isolated on white background"
30-fb-gina.png,"a clear round glass cup with weighted base and clean silhouette"
30-fb-gina.png,"a classic barware tumbler with no texture and polished glass surface"
33-fh-gina.png,"a tall and narrow clear glass tumbler with a thick base and clean lines"
33-fh-gina.png,"a highball glass with cylindrical shape, smooth surface, and polished finish"
33-fh-gina.png,"a sleek transparent beverage glass with solid bottom, isolated on white"
33-fh-gina.png,"a simple straight high glass with no texture, made of clear glass"
33-fh-gina.png,"a minimalist cocktail glass with vertical form and clear glass design"
acqua-aere.png,"a lightweight transparent water glass with thin walls and cylindrical shape"
acqua-aere.png,"a simple modern tumbler made of clear glass, smooth and minimal"
acqua-aere.png,"a thin and elegant drinking glass with no texture, isolated on white"
acqua-aere.png,"a basic clear glass cup with lightweight appearance and curved rim"
acqua-aere.png,"a plain water glass with minimalist design and transparent surface"
acqua-aurum.png,"a modern water glass with curved silhouette and smooth transparent surface"
acqua-aurum.png,"a minimalist clear drinking glass with tapered shape and rounded base"
acqua-aurum.png,"a sleek and elegant tumbler with curved sides, isolated on white background"
acqua-aurum.png,"a simple glass cup with soft contours and polished crystal clarity"
acqua-aurum.png,"a contemporary water glass with wide bottom and narrow rim"
acqua-capri.png,"a small tumbler glass with frosted white swirls and transparent upper section"
acqua-capri.png,"a clear drinking glass with decorative milky marbling and conical shape"
acqua-capri.png,"a stylish modern glass with swirling white patterns embedded in the material"
acqua-capri.png,"a transparent cup with artistic cloudy textures and soft reflective surface"
acqua-capri.png,"a designer water glass featuring white fog-like streaks on smooth clear glass"
acqua-cassiopea.png,"a geometric smoky glass tumbler with faceted polygonal surface and angular design"
acqua-cassiopea.png,"a modern dark transparent glass with sharp triangular facets and clean edges"
acqua-cassiopea.png,"a stylish tumbler with 3D diamond pattern and bold architectural form"
acqua-cassiopea.png,"a sculpted lowball glass with smoky hue and crystal-cut geometric texture"
acqua-cassiopea.png,"a contemporary glass with prismatic polygon shapes and tinted glass finish"
acqua-cortina.png,"a simple cylindrical tumbler with thick base and smooth clear glass"
acqua-cortina.png,"a transparent water glass with minimal design and straight sides"
acqua-cortina.png,"a basic drinking glass with clean lines and polished surface"
acqua-cortina.png,"a classic clear tumbler with flat bottom and modern proportions"
acqua-cortina.png,"a sleek bar glass with no decorations, made of pure transparent glass"
acqua-cube.png,"a clear tumbler with square-patterned surface and thick bottom"
acqua-cube.png,"a transparent water glass featuring a grid-like texture around the body"
acqua-cube.png,"a short glass with cube-shaped facets and polished glass finish"
acqua-cube.png,"a geometric drinking glass with embossed square design, isolated on white"
acqua-cube.png,"a stylish tumbler with subtle 3D cube texture and clean cylindrical form"
acqua-diamond.png,"a blue-tinted tumbler with irregular diamond-cut surface and glossy finish"
acqua-diamond.png,"a stylish transparent drinking glass featuring faceted geometric texture"
acqua-diamond.png,"a modern water glass with crystal-like pattern and angled reflections"
acqua-diamond.png,"a textured glass cup with three-dimensional diamond facets and smooth rim"
acqua-diamond.png,"a decorative tumbler in blue glass with sculpted polygonal surface"
acqua-diamond-blue.png,"a faceted tumbler with diamond-cut texture in translucent blue glass"
acqua-diamond-blue.png,"a stylish geometric glass with light blue tint and polygonal surface"
acqua-diamond-blue.png,"a transparent water glass featuring angular crystal-like pattern and bluish hue"
acqua-diamond-blue.png,"a modern tumbler with sculpted facets and subtle blue coloring"
acqua-diamond-blue.png,"a decorative blue drinking glass with reflective diamond-style surface"
acqua-diamond-pink.png,"a faceted tumbler in pink glass with diamond-cut pattern and glossy finish"
acqua-diamond-pink.png,"a decorative drinking glass with polygonal surface and soft rose tint"
acqua-diamond-pink.png,"a stylish pink water glass with geometric faceted texture"
acqua-diamond-pink.png,"a modern tumbler in transparent pink glass with crystal-like design"
acqua-diamond-pink.png,"a sculpted glass cup featuring a pink hue and angular surface pattern"
acqua-dots.png,"a clear tumbler with raised bubble texture and conical shape"
acqua-dots.png,"a transparent water glass featuring rounded dot patterns across the surface"
acqua-dots.png,"a decorative drinking glass with embossed circular motifs and glossy finish"
acqua-dots.png,"a textured glass cup with smooth polka-dot surface, isolated on white"
acqua-dots.png,"a modern tumbler with artistic bubble design and clear curved form"
acqua-galassia.png,"a clear tumbler with thick glass bottom and sculpted galaxy-like base"
acqua-galassia.png,"a transparent water glass featuring rounded shape and cratered foot"
acqua-galassia.png,"a modern glass with unique textured base resembling planetary formations"
acqua-galassia.png,"a smooth drinking glass with crystal-clear surface and artistic base"
acqua-galassia.png,"a short curved tumbler with heavy bottom and decorative starburst effect"
acqua-inalto-uno.png,"a modern stemless glass with wide base and narrow rim, made of clear glass"
acqua-inalto-uno.png,"a sleek water glass with tulip-like shape and smooth transparent surface"
acqua-inalto-uno.png,"a minimalistic curved tumbler with refined silhouette and polished finish"
acqua-inalto-uno.png,"a contemporary glass cup with elegant tapering design and clear body"
acqua-inalto-uno.png,"a lightweight transparent drinking glass with wide rounded base and thin lip"
acqua-line.png,"a clear tumbler with vertical ribbed pattern and rounded shape"
acqua-line.png,"a transparent drinking glass featuring fine fluted lines and smooth rim"
acqua-line.png,"a modern water glass with vertical grooves and softly curved silhouette"
acqua-line.png,"a textured glass cup with linear ridges and clean minimalist design"
acqua-line.png,"a stylish tumbler with ribbed vertical texture, made of polished clear glass"
acqua-line-blue.png,"a light blue glass tumbler with vertical ribbed texture and curved shape"
acqua-line-blue.png,"a transparent sky-blue water glass with fluted surface and soft silhouette"
acqua-line-blue.png,"a stylish tumbler with vertical lines and light blue hue, isolated on white"
acqua-line-blue.png,"a ribbed drinking glass in clear blue glass, rounded form and glossy finish"
acqua-line-blue.png,"a decorative blue tumbler featuring fine vertical grooves and smooth rim"
acqua-line-pink.png,"a pink glass tumbler with vertical ribbed texture and rounded silhouette"
acqua-line-pink.png,"a light rose water glass with fluted surface and delicate transparent finish"
acqua-line-pink.png,"a stylish tumbler in soft pink glass featuring fine vertical grooves"
acqua-line-pink.png,"a ribbed drinking glass with subtle pink hue and clean curved form"
acqua-line-pink.png,"a decorative clear pink tumbler with vertical ridges, isolated on white"
acqua-loto.png,"a clear tumbler with softly rounded shape and minimal design"
acqua-loto.png,"a modern transparent water glass with smooth curved silhouette"
acqua-loto.png,"a sleek drinking glass with clean lines and gently bulging sides"
acqua-loto.png,"a minimalist glass cup with elegant form and polished clear surface"
acqua-loto.png,"a simple rounded tumbler made of crystal-clear glass, isolated on white"
acqua-madison.png,"a compact clear glass tumbler with thick sculpted base and rounded top"
acqua-madison.png,"a transparent water glass with bulging foot and clean smooth surface"
acqua-madison.png,"a short drinking glass featuring heavy curved bottom and plain walls"
acqua-madison.png,"a crystal-clear tumbler with decorative molded base and minimalist form"
acqua-madison.png,"a sturdy glass cup with flared foot design and glossy transparent finish"
acqua-manon.png,"a clear tumbler with smooth curved walls and thick base, minimalist design"
acqua-manon.png,"a transparent drinking glass with tapered shape and polished surface"
acqua-manon.png,"a modern water glass featuring slightly flared sides and clean silhouette"
acqua-manon.png,"a simple glass cup with rounded form and clear glossy finish"
acqua-manon.png,"a sleek conical tumbler with solid base and smooth transparent appearance"
aperitivo-bistro-bar.png,"a tall and narrow shot glass with thick base and curved interior"
aperitivo-bistro-bar.png,"a clear aperitif glass with cylindrical shape and smooth transparent finish"
aperitivo-bistro-bar.png,"a sleek modern shooter glass with slightly rounded inner bottom"
aperitivo-bistro-bar.png,"a minimalistic shot glass with heavy base and straight walls"
aperitivo-bistro-bar.png,"a transparent bar glass for aperitifs, tall and slim with clean design"
beverage-florian.png,"a tall transparent glass with vertical ridges and ornate pedestal base"
beverage-florian.png,"a clear beverage glass featuring fluted sides and a decorative bottom"
